iter	Passed	Remaining
445	1212	1506
446	1216	1504
447	1219	1502
448	1222	1500
449	1226	1498
450	1229	1496
451	1232	1494
452	1235	1491
453	1238	1489
454	1241	1486
455	1244	1484
456	1247	1482
457	1249	1478
458	1252	1476
459	1255	1473
460	1258	1471
461	1261	1468
462	1264	1466
463	1267	1463
464	1270	1461
465	1273	1459
466	1276	1457
467	1279	1454
468	1281	1451
469	1285	1449
470	1288	1446
471	1290	1443
472	1293	1440
473	1295	1438
474	1298	1435
475	1301	1432
476	1304	1429
477	1306	1427
478	1309	1424
479	1312	1421
480	1315	1419
481	1319	1417
482	1322	1415
483	1326	1414
484	1329	1411
485	1332	1409
486	1336	1407
487	1339	1405
488	1342	1403
489	1347	1402
490	1351	1401
491	1355	1399
492	1359	1397
493	1362	1395
494	1365	1393
495	1369	1391
496	1373	1389
497	1376	1387
498	1380	1385
499	1384	1384
500	1387	1381
501	1391	1379
502	1394	1377
503	1397	1375
504	1401	1373
505	1404	1371
506	1408	1369
507	1412	1367
508	1416	1366
509	1420	1364
510	1423	1362
511	1426	1359
512	1429	1356
513	1432	1354
514	1435	1351
515	1438	1349
516	1441	1346
517	1444	1343
518	1447	1341
519	1451	1339
520	1454	1337
521	1457	1334
522	1460	1332
523	1463	1329
524	1466	1326
525	1469	1323
526	1471	1321
527	1474	1318
528	1477	1315
529	1480	1312
530	1483	1309
531	1485	1307
532	1488	1304
533	1490	1301
534	1493	1298
535	1496	1295
536	1499	1292
537	1502	1290
538	1505	1287
539	1507	1284
540	1510	1281
541	1513	1279
542	1516	1275
543	1518	1273
544	1521	1270
545	1524	1267
546	1527	1264
547	1530	1262
548	1533	1260
549	1536	1257
550	1539	1254
551	1543	1252
552	1545	1249
553	1548	1246
554	1551	1243
555	1553	1240
556	1556	1237
557	1559	1235
558	1561	1232
559	1564	1229
560	1567	1226
561	1570	1223
562	1573	1221
563	1576	1218
564	1578	1215
565	1581	1212
566	1584	1210
567	1587	1207
568	1590	1204
569	1593	1202
570	1596	1199
571	1599	1196
572	1601	1193
573	1605	1191
574	1607	1188
575	1610	1185
576	1613	1182
577	1616	1180
578	1619	1177
579	1622	1174
580	1624	1171
581	1627	1168
582	1630	1166
583	1633	1163
584	1636	1160
585	1638	1157
586	1641	1155
587	1644	1152
588	1647	1149
589	1650	1146
590	1653	1144
591	1656	1141
592	1659	1138
593	1662	1136
594	1664	1132
595	1667	1130
596	1669	1127
597	1672	1124
598	1675	1121
599	1677	1118
600	1681	1116
601	1684	1113
602	1687	1110
603	1689	1107
604	1692	1104
605	1696	1102
606	1699	1100
607	1703	1098
608	1706	1095
609	1709	1092
610	1712	1090
611	1714	1087
612	1717	1084
613	1720	1081
614	1722	1078
615	1725	1075
616	1728	1073
617	1731	1070
618	1734	1067
619	1737	1064
620	1738	1061
621	1741	1058
622	1744	1055
623	1746	1052
624	1749	1049
625	1752	1047
626	1755	1044
627	1758	1041
628	1760	1038
629	1763	1035
630	1766	1032
631	1769	1030
632	1771	1027
633	1773	1023
634	1776	1021
635	1778	1018
636	1781	1015
637	1784	1012
638	1786	1009
639	1789	1006
640	1792	1003
641	1795	1001
642	1798	998
643	1800	995
644	1803	992
645	1806	990
646	1809	987
647	1812	984
648	1815	981
649	1817	978
650	1820	975
651	1823	973
652	1826	970
653	1829	967
654	1831	964
655	1834	961
656	1836	958
657	1839	956
658	1842	953
659	1845	950
660	1848	948
661	1851	945
662	1853	942
663	1856	939
664	1859	936
665	1862	934
666	1865	931
667	1868	928
668	1871	925
669	1874	923
670	1877	920
671	1880	917
672	1883	915
673	1886	912
674	1889	909
675	1892	907
676	1897	905
677	1900	902
678	1904	900
679	1906	897
680	1910	894
681	1913	892
682	1916	889
683	1918	886
684	1921	883
685	1924	880
686	1927	878
687	1930	875
688	1933	872
689	1936	870
690	1939	867
691	1942	864
692	1945	862
693	1948	859
694	1951	856
695	1955	853
696	1958	851
697	1961	848
698	1964	846
699	1967	843
700	1970	840
701	1973	837
702	1976	834
703	1978	832
704	1981	829
705	1984	826
706	1988	823
707	1991	821
708	1994	818
709	1996	815
710	1999	812
711	2002	809
712	2005	807
713	2007	804
714	2011	801
715	2013	798
716	2016	796
717	2019	793
718	2022	790
719	2025	787
720	2028	784
721	2031	782
722	2034	779
723	2037	776
724	2039	773
725	2042	770
726	2045	768
727	2048	765
728	2051	762
729	2054	759
730	2056	756
731	2060	754
732	2063	751
733	2066	748
734	2069	745
735	2071	743
736	2074	740
737	2077	737
738	2080	734
739	2083	732
740	2086	729
741	2089	726
742	2092	723
743	2095	720
744	2098	718
745	2100	715
746	2103	712
747	2106	709
748	2109	706
749	2112	704
750	2115	701
751	2118	698
752	2121	695
753	2123	692
754	2126	690
755	2129	687
756	2132	684
757	2134	681
758	2137	678
759	2140	675
760	2143	673
761	2146	670
762	2148	667
763	2151	664
764	2154	661
765	2157	659
766	2160	656
767	2162	653
768	2165	650
769	2168	647
770	2170	644
771	2173	641
772	2175	638
773	2178	636
774	2181	633
775	2184	630
776	2186	627
777	2189	624
778	2192	621
779	2195	619
780	2198	616
781	2201	613
782	2204	610
783	2207	608
784	2210	605
785	2213	602
786	2216	599
787	2218	596
788	2221	594
789	2224	591
790	2227	588
791	2230	585
792	2233	583
793	2236	580
794	2239	577
795	2242	574
796	2244	571
797	2247	568
798	2250	566
799	2252	563
800	2255	560
801	2258	557
802	2261	554
803	2264	551
804	2266	549
805	2269	546
806	2271	543
807	2274	540
808	2276	537
809	2279	534
810	2282	531
811	2285	529
812	2288	526
813	2292	523
814	2295	521
815	2298	518
816	2301	515
817	2304	512
818	2307	509
819	2310	507
820	2313	504
821	2315	501
822	2318	498
823	2321	495
824	2324	493
825	2326	490
826	2329	487
827	2332	484
828	2335	481
829	2338	478
830	2341	476
831	2344	473
832	2347	470
833	2350	467
834	2353	465
835	2356	462
836	2359	459
837	2362	456
838	2366	454
839	2369	451
840	2373	448
841	2375	445
842	2378	442
843	2381	440
844	2383	437
845	2386	434
846	2389	431
847	2393	429
848	2396	426
849	2400	423
850	2402	420
851	2405	417
852	2409	415
853	2412	412
854	2416	409
855	2419	406
856	2422	404
857	2425	401
858	2428	398
859	2432	395
860	2435	393
861	2438	390
862	2441	387
863	2444	384
864	2447	382
865	2450	379
866	2453	376
867	2456	373
868	2459	370
869	2461	367
870	2464	365
871	2467	362
872	2470	359
873	2473	356
874	2476	353
875	2479	350
876	2481	348
877	2484	345
878	2487	342
879	2490	339
880	2492	336
881	2495	333
882	2498	331
883	2501	328
884	2504	325
885	2507	322
886	2510	319
887	2513	316
888	2516	314
889	2519	311
890	2521	308
891	2524	305
892	2527	302
893	2530	300
894	2533	297
895	2536	294
896	2539	291
897	2542	288
898	2545	286
899	2548	283
900	2551	280
901	2554	277
902	2557	274
903	2560	271
904	2563	269
905	2566	266
906	2569	263
907	2572	260
908	2574	257
909	2577	254
910	2580	252
911	2583	249
912	2586	246
913	2589	243
914	2592	240
915	2595	238
916	2598	235
917	2601	232
918	2604	229
919	2607	226
920	2610	223
921	2613	221
922	2616	218
923	2619	215
924	2622	212
925	2625	209
926	2628	206
927	2631	204
928	2633	201
929	2636	198
930	2640	195
931	2642	192
932	2645	189
933	2648	187
934	2651	184
935	2654	181
936	2656	178
937	2659	175
938	2662	172
939	2664	170
940	2667	167
941	2671	164
942	2674	161
943	2677	158
944	2680	156
945	2683	153
946	2686	150
947	2688	147
948	2691	144
949	2694	141
950	2697	138
951	2700	136
952	2703	133
953	2706	130
954	2709	127
955	2712	124
956	2714	121
957	2718	119
958	2721	116
959	2723	113
960	2726	110
961	2729	107
962	2732	104
963	2735	102
964	2737	99
965	2740	96
966	2743	93
967	2746	90
968	2749	87
969	2752	85
970	2755	82
971	2758	79
972	2761	76
973	2763	73
974	2766	70
975	2769	68
976	2772	65
977	2775	62
978	2778	59
979	2781	56
980	2784	53
981	2787	51
982	2790	48
983	2793	45
984	2796	42
985	2798	39
986	2801	36
987	2803	34
988	2807	31
989	2810	28
990	2813	25
991	2816	22
992	2818	19
993	2822	17
994	2824	14
995	2827	11
996	2830	8
997	2833	5
998	2836	2
999	2839	0
