iter	RMSE
197	182223.2334
198	182069.8855
199	181946.2912
200	181807.5821
201	181684.4661
202	181288.0099
203	181180.8725
204	180855.5696
205	180257.4718
206	180056.8679
207	179835.3233
208	179596.4428
209	179581.3326
210	178995.2317
211	178919.0655
212	178857.2514
213	178718.5904
214	178554.4608
215	178500.0281
216	178486.8391
217	178051.975
218	177575.1709
219	177117.8957
220	177009.1981
221	176997.0655
222	176711.289
223	176528.0264
224	176291.1779
225	176063.2651
226	175493.8042
227	175350.5641
228	175102.3099
229	174994.8735
230	174871.041
231	174585.4214
232	174447.2182
233	173868.25
234	173775.6993
235	173549.9928
236	173374.8166
237	173313.8197
238	173148.9912
239	172942.1732
240	172860.4327
241	172664.3413
242	172330.1426
243	171988.7228
244	171911.9471
245	171741.2996
246	171618.6438
247	171471.6248
248	171184.9707
249	171104.2722
250	170825.1257
251	170722.3423
252	170331.6418
253	170215.885
254	169845.1729
255	169675.1266
256	169322.0974
257	169230.1378
258	169055.047
259	168856.4486
260	168828.2213
261	168490.1948
262	168209.5276
263	168019.6948
264	167240.5148
265	166892.0543
266	166821.7322
267	166512.5842
268	166036.9631
269	165852.5201
270	165626.4031
271	165406.9167
272	165333.3053
273	165132.6326
274	165030.0114
275	164951.6886
276	164733.2714
277	164512.184
278	164351.3417
279	164250.7404
280	164128.6829
281	163729.8618
282	163478.0104
283	163272.1044
284	163228.3155
285	163075.7245
286	162892.0961
287	162584.23
288	162570.4628
289	162492.7261
290	162267.6637
291	162078.6424
292	161896.9197
293	161624.5204
294	161377.6828
295	161189.7674
296	160845.734
297	160681.77
298	160520.1198
299	160276.7262
300	160157.1127
301	160085.4912
302	160060.8753
303	159752.4103
304	159611.5969
305	159394.1921
306	159048.134
307	158866.3871
308	158669.4076
309	158369.6225
310	158056.3088
311	157908.0469
312	157813.3515
313	157809.2426
314	157673.1465
315	157401.073
316	157243.8014
317	157143.545
318	157092.4105
319	157078.1114
320	156834.7516
321	156369.8249
322	156260.6873
323	156074.3496
324	156070.5713
325	155939.5194
326	155812.7738
327	155756.3124
328	155584.7091
329	155434.1054
330	155292.8923
331	155094.0727
332	154854.88
333	154654.0778
334	154632.4208
335	154594.9923
336	154328.7658
337	154193.9006
338	154134.9327
339	153849.535
340	153788.7335
341	153534.0704
342	153382.3414
343	153141.8577
344	152960.5456
345	152899.3015
346	152774.9129
347	152167.0603
348	152130.9045
349	151486.5291
350	151311.9665
351	151121.7268
352	150975.6277
353	150382.3831
354	149907.6137
355	149731.3159
356	149584.2623
357	149355.6068
358	149198.8236
359	149023.9579
360	148869.6614
361	148662.2557
362	148510.0327
363	148462.773
364	148391.4553
365	148335.375
366	148147.107
367	148068.8457
368	147848.8727
369	147756.805
370	147729.931
371	147619.5954
372	147573.418
373	147505.7767
374	147306.6677
375	147280.4032
376	147081.7931
377	146950.0675
378	146809.4374
379	146769.4757
380	146688.8165
381	146520.0686
382	146413.3266
383	146229.8144
384	145888.8784
385	145796.7364
386	145578.3666
387	145449.7227
388	145434.8101
389	145341.2983
390	145167.9612
391	145117.6207
392	144925.9281
393	144856.7885
394	144838.447
395	144787.5705
396	144679.0809
397	144562.2247
398	144463.8311
399	144413.4827
400	144263.377
401	144171.4129
402	144021.8454
403	143896.3172
404	143882.2856
405	143780.6333
406	143719.751
407	143560.7496
408	143306.183
409	143151.2105
410	143102.6308
411	143091.0974
412	142991.5248
413	142885.381
414	142768.9682
415	142728.2984
416	142637.9571
417	142598.4706
418	142478.3143
419	142355.5391
420	142222.4114
421	141896.8749
422	141808.9992
423	141639.8918
424	141394.4286
425	141325.7126
426	141287.2993
427	141250.4619
428	141107.6352
429	140982.0831
430	140884.1816
431	140848.2978
432	140589.413
433	140380.7591
434	140206.5941
435	140038.0208
436	139926.9008
437	139880.5569
438	139739.8913
439	139574.6715
440	139337.5649
441	139291.3309
442	139080.3184
443	138970.4211
444	138838.556
445	138803.5582
446	138763.7426
447	138647.8362
448	138454.9615
449	138338.2768
450	138270.7017
451	138254.4907
452	138181.329
453	138103.5368
454	138011.68
455	137942.8759
456	137832.1928
457	137759.8304
458	137680.4774
459	137436.9315
460	137429.1311
461	137421.6892
462	137411.9536
463	137329.6817
464	137174.7215
465	137041.1112
466	136913.2894
467	136878.3849
468	136727.3386
469	136648.8463
470	136554.9855
471	136482.2632
472	136335.7888
473	136179.2485
474	136116.5381
475	136015.5732
476	135885.9309
477	135761.8395
478	135628.2996
479	135338.7422
480	135195.05
481	134970.9826
482	134781.1335
483	134671.5535
484	134554.5939
485	134427.148
486	134309.7301
487	134228.9229
488	134096.1147
489	134061.221
490	133952.838
491	133843.7417
492	133775.0832
493	133620.827
494	133415.78
495	133385.7481
496	133347.4001
497	133238.0193
498	132929.2547
499	132740.0748
500	132589.689
501	132386.5293
502	132262.4418
503	132177.9369
504	131911.1785
505	131746.9061
506	131595.9859
507	131458.6901
508	131338.2604
509	131216.842
510	131130.0315
511	130958.9329
512	130886.6282
513	130713.8253
514	130608.5728
515	130512.9422
516	130450.7633
517	130430.124
518	130412.7436
519	130248.832
520	130085.8502
521	130036.0368
522	129913.3109
523	129885.7994
524	129855.3575
525	129732.7587
526	129697.6677
527	129625.0715
528	129571.0149
529	129440.3964
530	129372.493
531	129228.7934
532	129137.2681
533	129016.4163
534	128950.2705
535	128882.0669
536	128844.2632
537	128706.1191
538	128639.1581
539	128583.2889
540	128419.7646
541	128407.8605
542	128275.2989
543	128129.6215
544	128057.5734
545	128000.9083
546	127989.7992
547	127961.4958
548	127933.6414
549	127791.1395
550	127602.0262
551	127471.8949
552	127283.0167
553	127256.0353
554	127232.3722
555	127189.688
556	127165.8529
557	127140.8338
558	127118.9657
559	127092.3469
560	126990.2109
561	126873.4292
562	126777.1321
563	126674.0714
564	126437.9223
565	126414.874
566	126392.3944
567	126244.8921
568	126184.5928
569	126141.5205
570	126054.0376
571	125890.2853
572	125830.9569
573	125813.5955
574	125772.9716
575	125723.7159
576	125699.9592
577	125605.7155
578	125511.9307
579	125373.2098
580	125289.2168
581	125268.6764
582	125159.6232
583	124929.3633
584	124837.5926
585	124780.6655
586	124564.4493
587	124498.2756
588	124459.0905
589	124398.7264
590	124303.9331
591	124196.3271
592	124034.1348
593	123949.0031
594	123927.9211
595	123794.9103
596	123695.8543
597	123570.7672
598	123553.7224
599	123438.7804
600	123286.2927
601	123221.509
602	123096.6349
603	122980.8314
604	122901.6552
605	122699.7742
606	122640.4023
607	122607.7693
608	122562.5453
609	122433.4746
610	122309.9844
611	122201.4857
612	122089.6433
613	122015.7011
614	121874.2169
615	121857.1801
616	121814.38
617	121763.7959
618	121728.1281
619	121639.3194
620	121570.9834
621	121382.1394
622	121224.7306
623	121190.4965
624	121120.7194
625	121082.9422
626	121069.4179
627	121007.8731
628	120910.5245
629	120841.999
630	120745.4751
631	120638.4286
632	120584.2038
633	120538.4089
634	120431.2185
635	120340.3583
636	120205.1033
637	120149.5753
638	120040.0226
639	119934.774
640	119904.5243
641	119830.3055
642	119783.3041
643	119707.0368
644	119673.0947
645	119644.5148
646	119555.9048
647	119439.6546
648	119333.6609
649	119299.6253
650	119094.4094
651	119041.7554
652	118969.0471
653	118953.591
654	118828.5703
655	118718.883
656	118636.7423
657	118540.4879
658	118478.0738
659	118439.6093
660	118380.6913
661	118353.6002
662	118179.0137
663	118057.773
664	117989.2416
665	117920.4989
666	117781.7796
667	117709.5431
668	117688.3813
669	117600.4477
670	117515.3712
671	117341.7061
672	117233.8292
673	117208.7918
674	117081.8766
675	116965.6557
676	116894.5576
677	116878.2944
678	116865.1802
679	116794.8344
680	116746.4995
681	116648.3403
682	116592.337
683	116533.7149
684	116488.0393
685	116451.0397
686	116436.0086
687	116308.8757
688	116190.2936
689	116144.7595
690	116104.3672
691	116034.7567
692	115960.7038
693	115909.3213
694	115852.7826
695	115743.9049
696	115646.6938
697	115584.8724
698	115522.7097
699	115488.7507
700	115433.2069
701	115377.0443
702	115329.7378
703	115244.0097
704	115223.9903
705	115143.1222
706	115091.3358
707	115058.6668
708	115047.0993
709	114976.0056
710	114876.5887
711	114812.752
712	114796.7306
713	114698.9696
714	114683.3763
715	114622.5947
716	114571.6692
717	114515.7077
718	114431.4119
719	114349.8197
720	114334.6333
721	114282.7027
722	114252.254
723	114176.084
724	114118.5891
725	114098.0522
726	114009.895
727	113981.3071
728	113970.6421
729	113861.2458
730	113849.7723
731	113838.5213
732	113691.7072
733	113609.5666
734	113527.1811
735	113498.2588
736	113453.1861
737	113280.1303
738	113234.092
739	113214.3321
740	113133.9926
741	113087.8634
742	112968.1518
743	112877.7395
744	112856.3015
745	112805.9107
746	112729.9105
747	112678.797
748	112668.1104
749	112569.7673
750	112384.8015
751	112312.1071
752	112280.5827
753	112118.2981
754	112009.9212
755	111958.7454
756	111875.0648
757	111770.5937
758	111693.1437
759	111614.7234
760	111576.8371
761	111536.576
762	111425.8629
763	111367.0478
764	111154.421
765	111010.451
766	110927.533
767	110810.61
768	110734.6329
769	110678.1069
770	110493.501
771	110440.5308
772	110356.2389
773	110317.3035
774	110249.0897
775	110160.3411
776	110079.268
777	110012.1165
778	109955.8601
779	109844.4832
780	109629.4433
781	109593.7066
782	109489.0445
783	109370.6034
784	109274.8417
785	109233.3264
786	109177.7706
787	109142.4905
788	109064.8034
789	108909.0348
790	108840.9602
791	108802.4125
792	108770.5674
793	108687.7132
794	108653.9966
795	108615.5065
796	108578.078
797	108428.4021
798	108311.0117
799	108265.833
800	108167.9463
801	108065.9589
802	108029.0584
803	108016.8203
804	107955.1599
805	107872.3721
806	107753.0988
807	107736.9387
808	107679.2364
809	107626.4637
810	107501.7544
811	107348.3521
812	107229.0405
813	107130.2602
814	107099.482
815	107059.8855
816	106969.0339
817	106939.5859
818	106905.2506
819	106804.3108
820	106740.7452
821	106646.6023
822	106592.8525
823	106443.2762
824	106335.5942
825	106202.2875
826	106145.2115
827	106107.9487
828	106070.8031
829	106020.4329
830	105983.8417
831	105921.9328
832	105908.0804
833	105828.6366
834	105789.6803
835	105570.1417
836	105521.8545
837	105420.3342
838	105322.8246
839	105293.0671
840	105130.2258
841	104933.7127
842	104800.2027
843	104748.2951
844	104711.8134
845	104644.6823
846	104577.771
847	104453.3232
848	104407.109
849	104333.265
850	104283.5374
851	104240.5167
852	104179.8863
853	104126.0149
854	104096.8496
855	104043.3028
856	104013.5838
857	103966.5583
858	103842.1151
859	103785.0019
860	103749.6717
861	103653.2865
862	103535.3084
863	103442.3537
864	103410.5269
865	103287.9379
866	103260.3928
867	103218.5038
868	103171.2376
869	103126.0207
870	103063.1811
871	102890.3267
872	102832.2453
873	102797.281
874	102765.2284
875	102648.0638
876	102604.2494
877	102580.618
878	102543.7546
879	102498.5647
880	102458.2919
881	102385.3633
882	102219.3462
883	102187.5042
884	102081.685
885	102051.168
886	101951.5723
887	101902.2658
888	101832.1153
889	101799.3548
890	101725.378
891	101619.1445
892	101546.4663
893	101454.1194
894	101421.5141
895	101385.9244
896	101293.1479
897	101270.0768
898	101241.6612
899	101137.0483
900	101055.1055
901	100939.696
902	100914.3626
903	100784.3494
904	100705.2956
905	100643.5151
906	100591.7523
907	100526.48
908	100506.8485
909	100410.835
910	100386.1577
911	100344.1579
912	100269.613
913	100201.8099
914	100161.0268
915	100094.2464
916	100024.5275
917	100001.2856
918	99928.60791
919	99838.94892
920	99800.46288
921	99660.84463
922	99587.46502
923	99557.23253
924	99493.82226
925	99440.21511
926	99382.18761
927	99353.82905
928	99249.89529
929	99206.27986
930	99176.62262
931	99101.46849
932	99033.504
933	98966.77836
934	98910.23076
935	98878.60123
936	98742.98697
937	98719.72799
938	98631.43408
939	98586.91225
940	98547.96835
941	98512.90937
942	98459.608
943	98414.18491
944	98331.11993
945	98203.4354
946	98170.78426
947	98094.42471
948	97988.50946
949	97929.72953
950	97905.16147
951	97793.0589
952	97748.61413
953	97609.69624
954	97555.14335
955	97433.65971
956	97407.09495
957	97360.85562
958	97282.96679
959	97196.54657
960	97154.83432
961	97039.04283
962	96993.83436
963	96927.85257
964	96836.62929
965	96772.83827
966	96702.86657
967	96677.69093
968	96630.34957
969	96593.70858
970	96510.89805
971	96425.71486
972	96339.60645
973	96303.19361
974	96248.23824
975	96165.66961
976	96144.89095
977	96085.6674
978	96001.01725
979	95952.51299
980	95927.56007
981	95881.53267
982	95830.10452
983	95767.92576
984	95716.1226
985	95697.20154
986	95563.28823
987	95459.92747
988	95391.78799
989	95361.70493
990	95306.40788
991	95220.5151
992	95131.11044
993	95065.09373
994	95020.21538
995	95018.9061
996	94982.66554
997	94903.64935
998	94888.01281
999	94800.96061
